"Nu op NL 24 Actueel: ""Inflatie stijgt naar 1","6 procent in januari""  #economie #inflatie #januari #nederland  https://t.co/kT1lYBIEWt https://t.co/fVAsbCn5C6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text
Mark Rutte doet naïeve handreiking en sneert naar Wilders #Nosdebat #nederlandkiest #npo1 #Jinek https://t.co/EmYFmbkDwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#beleggenmetgemak #vaneckbeheerdindexbeleggen #vermogensbeheer #beleggen #inflatie #rente https://t.co/O5Qbv4Y5la
De #inflatie zal in 2022 iets afnemen, maar zeker ruim boven het niveau blijven van voor de pandemie. Dit zegt beleggingsstrateeg Stefan Kreuzkamp van DWS in een vooruitzicht op het komende jaar. Lees meer: https://t.co/flS7cfGe0a https://t.co/MUF0OjIXpV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Rutte doet naïeve handreiking en sneert naar Wilders #Nosdebat #nederlandkiest #npo1 #Jinek https://t.co/EmYFmbkDwu
RT @Vvte_uvt: #Loonstijging loopt nog steeds vér achter op groei economie. Ondanks hoogconjunctuur. #Inflatie doet die loonstijging ook nog…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De #inflatie zal in 2022 iets afnemen maar zeker ruim boven het niveau blijven van voor de pandemie. Dit zegt beleggingsstrateeg Stefan Kreuzkamp van DWS in een vooruitzicht op het komende jaar. Lees meer: https://t.co/flS7cfGe0a https://t.co/MUF0OjIXpV
@marcelbar8 Valt mij wel een beetje tegen van jou... ik hoor vooral veel politieke lulkoek... 🤷🏼‍♀️🤒🌈 #jinek #paternotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT @Vvte_uvt: #Loonstijging loopt nog steeds vér achter op groei economie. Ondanks hoogconjunctuur. #Inflatie doet die loonstijging ook nog…
#jinek iets meer daadkracht   de beuk erin ipv achter de feiten blijven lopen . #MiljoenenNota #Prinsjesdag https://t.co/pqq7UnJykL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@marcelbar8 Valt mij wel een beetje tegen van jou... ik hoor vooral veel politieke lulkoek... 🤷🏼‍♀️🤒🌈 #jinek #paternotte
Ook t vaccin de snelheid en aantal ben ik bang voor.#jinek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#jinek iets meer daadkracht   de beuk erin ipv achter de feiten blijven lopen . #MiljoenenNota #Prinsjesdag https://t.co/pqq7UnJykL
Jullie stemmen nog steeds op de coalitiepartijen? Ja? Dan verdienen jullie niet beter! #omtzigt  #inflatie  #koopkracht https://t.co/wWOcRNxZcv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ook t vaccin de snelheid en aantal ben ik bang voor.#jinek
#jinek Wat een heks die Jinek https://t.co/vwhNQMR4KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jullie stemmen nog steeds op de coalitiepartijen? Ja? Dan verdienen jullie niet beter! #omtzigt  #inflatie  #koopkracht https://t.co/wWOcRNxZcv
Tjongejonge je krijgt niet alleen een relatie met Caroline, maar ook met Roosje die overal naartoe meegaat! #jinek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#jinek Wat een heks die Jinek https://t.co/vwhNQMR4KH
Stop War!Weg met het fascism&amp;imperialism!#Op1 #jinek,Kaag,Debat,#InternationalWomensDay #WomensDay #IWD2022 #8Marzo2022,Ukraine,Ukrainian,Russia,Russian,Germany,Italy,France,England,Europe,EU,America,US,NATO,Canada,Japan,China,India,#UkraineRussiaCrisis #UkraineRussianWar #NoWar https://t.co/JK1c2uMa9o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tjongejonge je krijgt niet alleen een relatie met Caroline maar ook met Roosje die overal naartoe meegaat! #jinek
RT @BBalings: #vrijheidskaravaan  #jinek Schijnheiligheid kent geen tijd. https://t.co/ceZZ980XvS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop War!Weg met het fascism&amp;imperialism!#Op1 #jinekKaag
@NUnl WAT!!! wanneer is het debat tussen #Jinek en #martijnkoning positie van Jinek is onhoudbaar!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT @BBalings: #vrijheidskaravaan  #jinek Schijnheiligheid kent geen tijd. https://t.co/ceZZ980XvS
Ik wist niet dat het een wedstrijdje was #ikbensuperlinks #jinek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@NUnl WAT!!! wanneer is het debat tussen #Jinek en #martijnkoning positie van Jinek is onhoudbaar!
RT @JantjeSmit: #Jinek Rutte en zijn vrienden zijn echt doof. Ze doen hun werk niet. Doe eens wat. Voer het plan uit. #handbovenhunhoofd .…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ik wist niet dat het een wedstrijdje was #ikbensuperlinks #jinek
Is er inmiddels al een programma gestart om nieuwe studenten te wervel voor de zorg? Goed betalen, reclame spotjes, posters en uitleg op school? #Jinek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT @JantjeSmit: #Jinek Rutte en zijn vrienden zijn echt doof. Ze doen hun werk niet. Doe eens wat. Voer het plan uit. #handbovenhunhoofd .…
Ik weet nu weer waarom ik nooit naar talkshows kijk! 🤢 Tenenkrommend.... #jinek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is er inmiddels al een programma gestart om nieuwe studenten te wervel voor de zorg? Goed betalen reclame spotjes
Ik ben geen fan van Baudet, maar wat er gisteren bij Jinek gebeurde. Dat was gewoon heel laag, kinderachtig pest gedrag. Sinds wanneer zit Martijn Koning weer in groep 5? Niemand verdient het om zo en publiek te worden vernederd. #Jinek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ik weet nu weer waarom ik nooit naar talkshows kijk! 🤢 Tenenkrommend.... #jinek
RT @lidwienj: Ik kijk niet. Want te erg. Maar dank voor delen Thalita. #jinek #Journalistiek is dood.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ik ben geen fan van Baudet maar wat er gisteren bij Jinek gebeurde. Dat was gewoon heel laag
Grote klasse Raisa. Alleen al feit dat je daar durft te zitten terwijl je weet dat ze je gaan proberen te slopen met z'n allen. Top. #jinek #raisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT @lidwienj: Ik kijk niet. Want te erg. Maar dank voor delen Thalita. #jinek #Journalistiek is dood.
#Inflatie eurozone in juni weer gedaald Daling is wel wat kleiner dan analisten hadden voorzien. https://t.co/yAtHsnogLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grote klasse Raisa. Alleen al feit dat je daar durft te zitten terwijl je weet dat ze je gaan proberen te slopen met z'n allen. Top. #jinek #raisa
@SigridKaag gaat woensdag voor een verrassing zorgen. #jinek #gamechanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Inflatie eurozone in juni weer gedaald Daling is wel wat kleiner dan analisten hadden voorzien. https://t.co/yAtHsnogLX
Trump Mourns the Fallen on 20th Anniversary of 9/11, Slams Joe Biden for ‘Incredible Weakness’ in Afghanistan https://t.co/IrDYW4LoGk #Tellthetruth #MainstreamMedia #op1npo #nieuwsuur #eenvandaag #jinek  @hugodejonge @MinPres #RIVM #NOS  @RTLnieuws @RealAmVoice @opiniepanel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@SigridKaag gaat woensdag voor een verrassing zorgen. #jinek #gamechanger
#Jinek Snapt de presentatrice het niet of wil ze het niet snappen. #relschoppers #rotterdamprotest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trump Mourns the Fallen on 20th Anniversary of 9/11 Slams Joe Biden for ‘Incredible Weakness’ in Afghanistan https://t.co/IrDYW4LoGk #Tellthetruth #MainstreamMedia #op1npo #nieuwsuur #eenvandaag #jinek  @hugodejonge @MinPres #RIVM #NOS  @RTLnieuws @RealAmVoice @opiniepanel
Het is de epidemie van de bewust ongevaccineerden!…Ben ik nu  strafbaar?  #jinek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Jinek Snapt de presentatrice het niet of wil ze het niet snappen. #relschoppers #rotterdamprotest
RT @lientje1967: In een tijd dat de prijzen voor voedsel, energie en benzine door het dak gaan en mensen hun rekeningen niet meer kunnen be…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Het is de epidemie van de bewust ongevaccineerden!…Ben ik nu  strafbaar?  #jinek
Hoe vliegt @derksauer dan van Amsterdam naar Moskou. Ben benieuwd   #Jinek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT @lientje1967: In een tijd dat de prijzen voor voedsel energie en benzine door het dak gaan en mensen hun rekeningen niet meer kunnen be…
#jinek grijp in. #Eerdmans laat #Ouwehand geen enkel moment uitpraten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoe vliegt @derksauer dan van Amsterdam naar Moskou. Ben benieuwd   #Jinek
#nosjournaal #eenvandaag #op1 #rtlnieuws #rtlboulevard #jinek  kijken wij nu naar #omroepzwart of #opsporingverzocht https://t.co/7smvEtLWKz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#jinek grijp in. #Eerdmans laat #Ouwehand geen enkel moment uitpraten
#Jinek gaat proberen het electoraal verlies van de #VVD te beperken …. Hoe doorzichtig … https://t.co/Cv8itZa6PN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#nosjournaal #eenvandaag #op1 #rtlnieuws #rtlboulevard #jinek  kijken wij nu naar #omroepzwart of #opsporingverzocht https://t.co/7smvEtLWKz
Ik zie de inleiding van #Jinek en zie de gasten...w.o. MM #zapp https://t.co/LiE2WyfGZy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Jinek gaat proberen het electoraal verlies van de #VVD te beperken …. Hoe doorzichtig … https://t.co/Cv8itZa6PN
@RoelMaalderink @thierrybaudet  had tenminste het fatsoen om Koning uit te laten praten. Kan #Jinek nog een voorbeeld aan nemen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ik zie de inleiding van #Jinek en zie de gasten...w.o. MM #zapp https://t.co/LiE2WyfGZy
#jinek je lult uit je nek met je propaganda #coronaprik pfff https://t.co/5WzeJDRoiU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@RoelMaalderink @thierrybaudet  had tenminste het fatsoen om Koning uit te laten praten. Kan #Jinek nog een voorbeeld aan nemen.
Eva #Jinek, wel luisteren hè naar je tafelgasten.😉 #aboutaleb maakte een leuk woordgrapje maar jouw gezichtsuitdrukking was als van een gemiddelde begrafenisondernemer. 😐 Of snapte je het grapje niet? 😏#schoonschipmaken @Jinek_RTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#jinek je lult uit je nek met je propaganda #coronaprik pfff https://t.co/5WzeJDRoiU
#Agoria: Indexhervorming voor wanneer? #inflatie te hoog om loonkostenhandicap te laten dalen http://t.co/2GDIfZ5nwj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eva #Jinek wel luisteren hè naar je tafelgasten.😉 #aboutaleb maakte een leuk woordgrapje maar jouw gezichtsuitdrukking was als van een gemiddelde begrafenisondernemer. 😐 Of snapte je het grapje niet? 😏#schoonschipmaken @Jinek_RTL
RT @Zelfredzaamheit: #boosterprik Als zetpil? #Jinek https://t.co/gnhyL0WVex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Agoria: Indexhervorming voor wanneer? #inflatie te hoog om loonkostenhandicap te laten dalen http://t.co/2GDIfZ5nwj
Verziek jullie geest vanavond niet met #Jinek of de #Npo. Blackbox Tv  heeft wederom een nieuwe video waarin een docu word besproken over Ab Whisky Osterhaus. Cursus Pandemie Marketing.   https://t.co/wCz939cFBN  #nooitmeerjinek #martijnkoning #coronadebat #StemFVD #Op1npo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT @Zelfredzaamheit: #boosterprik Als zetpil? #Jinek https://t.co/gnhyL0WVex
.KOM OP MENSEN !  Dit kan toch niet langer ? Kappen met dat digitale fascisme !  #Corona #OnverdeeldOpen #OpZnKop #RIVM #Jinek #NIeuwsuur #op1 #DeNieuweWereld #BoekestijnendeWijk #Kuipers #CTB #CoronaPas #VVD #D66 #CDA @mauricedehond @mariannezw #Waanzin #Wappie #BNR  👇🏼👇🏼👇🏼👇🏼👇🏼 https://t.co/9XbeMsND3K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verziek jullie geest vanavond niet met #Jinek of de #Npo. Blackbox Tv  heeft wederom een nieuwe video waarin een docu word besproken over Ab Whisky Osterhaus. Cursus Pandemie Marketing.   https://t.co/wCz939cFBN  #nooitmeerjinek #martijnkoning #coronadebat #StemFVD #Op1npo
Ga je schamen #jinek https://t.co/3Q687DHd6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.KOM OP MENSEN !  Dit kan toch niet langer ? Kappen met dat digitale fascisme !  #Corona #OnverdeeldOpen #OpZnKop #RIVM #Jinek #NIeuwsuur #op1 #DeNieuweWereld #BoekestijnendeWijk #Kuipers #CTB #CoronaPas #VVD #D66 #CDA @mauricedehond @mariannezw #Waanzin #Wappie #BNR  👇🏼👇🏼👇🏼👇🏼👇🏼 https://t.co/9XbeMsND3K
Een mooie manier om de “lastigste” man #pieteromtzigt uit de TK monddood te maken, door hem mede verantwoordelijk te maken voor het regeerakkoord!  Of ben ik te cynisch? #Jinek   Omtzigt én slachtoffers toeslagenaffaire mogen meepraten over formatie https://t.co/cxxH6QwvAy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ga je schamen #jinek https://t.co/3Q687DHd6B
Wij dachten altijd dat er alleen maar hoger opgeleiden op #twitter zaten…., dat blijkt ook zo te zijn🤣🤣🤣🤣 #jinek https://t.co/tuxmZShGTz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Een mooie manier om de “lastigste” man #pieteromtzigt uit de TK monddood te maken door hem mede verantwoordelijk te maken voor het regeerakkoord!  Of ben ik te cynisch? #Jinek   Omtzigt én slachtoffers toeslagenaffaire mogen meepraten over formatie https://t.co/cxxH6QwvAy
Precies de reden dat ik geen opinieprogramma's meer kijk sinds 3 maanden. Geen #op1, #jinek, #beau, #Nieuwsuur, #eenvandaag, en al helemaal niet die gluiperige #humberto tan. https://t.co/niOgk0FpBl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wij dachten altijd dat er alleen maar hoger opgeleiden op #twitter zaten…. dat blijkt ook zo te zijn🤣🤣🤣🤣 #jinek https://t.co/tuxmZShGTz
Heeft #MarthaRiemsma nou sinds haar relatie met #MatthijsvanNieuwkerk haar kapsel aan hem aangepast? Variatie op 'n ANWB-stel, zeg maar? #jinek https://t.co/kYUjNSUYYW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precies de reden dat ik geen opinieprogramma's meer kijk sinds 3 maanden. Geen #op1 #jinek
TERECHT.👍👍👍 Vader vermoordt ‘loverboy’ (19) van zijn dochter na verkoop aan prostitutiebende #eenvandaag #Op1 #Jinek https://t.co/67GmdSO7Yj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heeft #MarthaRiemsma nou sinds haar relatie met #MatthijsvanNieuwkerk haar kapsel aan hem aangepast? Variatie op 'n ANWB-stel zeg maar? #jinek https://t.co/kYUjNSUYYW
Gemeentelijke woonlasten stijgen minder dan inflatie #inflatie #gemeenten #persbericht: DEN... http://t.co/Ya0vEHq6io Nieuws van EZPress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TERECHT.👍👍👍 Vader vermoordt ‘loverboy’ (19) van zijn dochter na verkoop aan prostitutiebende #eenvandaag #Op1 #Jinek https://t.co/67GmdSO7Yj
RT @billy6318: Ach ach #kaag krijgt bij #jinek nog een extra #podium  en #Eva kwijlt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gemeentelijke woonlasten stijgen minder dan inflatie #inflatie #gemeenten #persbericht: DEN... http://t.co/Ya0vEHq6io Nieuws van EZPress
@telegraaf Omdat #Jinek respectloos omgaat met gasten met een zo giftig mogelijke setting voor tegengeluid. Je wordt geframed. Gedemoniseerd. In een hoek gedrukt. Monddood gemaakt. Niet serieus genomen. Het is puur propaganda.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT @billy6318: Ach ach #kaag krijgt bij #jinek nog een extra #podium  en #Eva kwijlt
"@2deKamerFVD @telegraaf #Kuipers #jinek ""Iedereen die buiten loopt"," zal ooit in de regen lopen."" HOOOO!!! SOEP!!  #MAATREGELEN!!! Als die zure regen!  En er zijn wel eens mensen verdronken in een plas water!!!  Alle Kranen in #lockdown!!  Verplicht paraplu's!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@telegraaf Omdat #Jinek respectloos omgaat met gasten met een zo giftig mogelijke setting voor tegengeluid. Je wordt geframed. Gedemoniseerd. In een hoek gedrukt. Monddood gemaakt. Niet serieus genomen. Het is puur propaganda.
Beste mensen Nederland is verziekt door het neoliberalisme. Dit is het klimaat wat in 10 jaar is gecreëerd is door VVD EN CO  het land is TERMINAAL!!! #VVD #kutland #jinek #politie #politiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"@2deKamerFVD @telegraaf #Kuipers #jinek ""Iedereen die buiten loopt zal ooit in de regen lopen."" HOOOO!!! SOEP!!  #MAATREGELEN!!! Als die zure regen!  En er zijn wel eens mensen verdronken in een plas water!!!  Alle Kranen in #lockdown!!  Verplicht paraplu's!!"
Overigens leverde de uitzending van #jinek gisteren het ultieme bewijs voor het spreekwoord ‘die distels zaait, zal doornen oogsten’. @thierrybaudet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beste mensen Nederland is verziekt door het neoliberalisme. Dit is het klimaat wat in 10 jaar is gecreëerd is door VVD EN CO  het land is TERMINAAL!!! #VVD #kutland #jinek #politie #politiek
Hoorde ik Joris Voorhoeve bij #jinek suggereren dat iemand in het Kremlin Poetin moet vergiftigen (‘kopje thee waarna het afloopt’)? Lijkt me (nog) geen realistisch scenario, maar een coup/afzetting zonder moord (denk aan berechting) zou wel een zegen voor de wereld zijn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overigens leverde de uitzending van #jinek gisteren het ultieme bewijs voor het spreekwoord ‘die distels zaait zal doornen oogsten’. @thierrybaudet
Angst en haat zijn de machtige instrumenten voor de machthebbers. Angst zaaien voor het virus en haat zaaien tegen de oppositie #FVD #Baudet. De media #rtl  doet haar werk perfect in de traditie van beroemde Duitse filmregisseur Leni Riefenstahl. #EvaBruin #Jinek https://t.co/zi4AMwIDC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoorde ik Joris Voorhoeve bij #jinek suggereren dat iemand in het Kremlin Poetin moet vergiftigen (‘kopje thee waarna het afloopt’)? Lijkt me (nog) geen realistisch scenario maar een coup/afzetting zonder moord (denk aan berechting) zou wel een zegen voor de wereld zijn.
Dan ook niet zeiken dat je nergens meer binnen mag binnenkort! Jullie hebben toch ook een vaccinatiecocktail gehad als kind?? Wat l*l je nu?!!! #eenvandaag #nieuwsuur #jinek #r1jn https://t.co/TMIHV1JaTd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angst en haat zijn de machtige instrumenten voor de machthebbers. Angst zaaien voor het virus en haat zaaien tegen de oppositie #FVD #Baudet. De media #rtl  doet haar werk perfect in de traditie van beroemde Duitse filmregisseur Leni Riefenstahl. #EvaBruin #Jinek https://t.co/zi4AMwIDC7
